"startTime";"endTime";"aFRR energy volume weighted average price, local selection, up"
"2025-03-26T09:00:00.000Z";"2025-03-26T09:15:00.000Z";173.68
"2025-03-26T09:15:00.000Z";"2025-03-26T09:30:00.000Z";396.6
"2025-03-26T10:00:00.000Z";"2025-03-26T10:15:00.000Z";121.67
"2025-03-26T11:00:00.000Z";"2025-03-26T11:15:00.000Z";112.18
"2025-03-26T11:30:00.000Z";"2025-03-26T11:45:00.000Z";123.09
"2025-03-26T12:00:00.000Z";"2025-03-26T12:15:00.000Z";49.32
"2025-03-26T13:00:00.000Z";"2025-03-26T13:15:00.000Z";44.69
"2025-03-26T14:15:00.000Z";"2025-03-26T14:30:00.000Z";53.6
"2025-03-26T14:30:00.000Z";"2025-03-26T14:45:00.000Z";68
"2025-03-26T14:45:00.000Z";"2025-03-26T15:00:00.000Z";84
"2025-03-26T15:15:00.000Z";"2025-03-26T15:30:00.000Z";53.67
"2025-03-26T15:30:00.000Z";"2025-03-26T15:45:00.000Z";78.38
"2025-03-26T15:45:00.000Z";"2025-03-26T16:00:00.000Z";91.85
"2025-03-26T16:00:00.000Z";"2025-03-26T16:15:00.000Z";37.42
"2025-03-26T16:15:00.000Z";"2025-03-26T16:30:00.000Z";44.72
"2025-03-26T16:45:00.000Z";"2025-03-26T17:00:00.000Z";24.55
"2025-03-26T17:00:00.000Z";"2025-03-26T17:15:00.000Z";70.73
"2025-03-26T17:15:00.000Z";"2025-03-26T17:30:00.000Z";80
"2025-03-26T18:00:00.000Z";"2025-03-26T18:15:00.000Z";28.38
"2025-03-26T18:15:00.000Z";"2025-03-26T18:30:00.000Z";62.45
"2025-03-26T19:00:00.000Z";"2025-03-26T19:15:00.000Z";52.37
"2025-03-26T20:00:00.000Z";"2025-03-26T20:15:00.000Z";62.87
"2025-03-26T20:15:00.000Z";"2025-03-26T20:30:00.000Z";81.09
"2025-03-26T20:30:00.000Z";"2025-03-26T20:45:00.000Z";55.01
