"startTime";"endTime";"aFRR energy volume weighted average price, up"
"2024-06-12T05:00:00.000Z";"2024-06-12T06:00:00.000Z";70
"2024-06-12T05:15:00.000Z";"2024-06-12T06:15:00.000Z";70
"2024-06-12T05:30:00.000Z";"2024-06-12T06:30:00.000Z";70
"2024-06-12T05:45:00.000Z";"2024-06-12T06:45:00.000Z";70
"2024-06-12T06:00:00.000Z";"2024-06-12T07:00:00.000Z";61.27415
"2024-06-12T06:15:00.000Z";"2024-06-12T07:15:00.000Z";61.27415
"2024-06-12T06:30:00.000Z";"2024-06-12T07:30:00.000Z";61.27415
"2024-06-12T06:45:00.000Z";"2024-06-12T07:45:00.000Z";61.27415
"2024-06-12T11:00:00.000Z";"2024-06-12T12:00:00.000Z";10
"2024-06-12T11:15:00.000Z";"2024-06-12T12:15:00.000Z";10
"2024-06-12T11:30:00.000Z";"2024-06-12T12:30:00.000Z";10
"2024-06-12T11:45:00.000Z";"2024-06-12T12:45:00.000Z";10
"2024-06-12T13:00:00.000Z";"2024-06-12T14:00:00.000Z";123.06296
"2024-06-12T13:15:00.000Z";"2024-06-12T14:15:00.000Z";123.06296
"2024-06-12T13:30:00.000Z";"2024-06-12T14:30:00.000Z";123.06296
"2024-06-12T13:45:00.000Z";"2024-06-12T14:45:00.000Z";123.06296
"2024-06-12T14:00:00.000Z";"2024-06-12T15:00:00.000Z";163.50773
"2024-06-12T14:15:00.000Z";"2024-06-12T15:15:00.000Z";163.50773
"2024-06-12T14:30:00.000Z";"2024-06-12T15:30:00.000Z";163.50773
"2024-06-12T14:45:00.000Z";"2024-06-12T15:45:00.000Z";163.50773
"2024-06-12T15:00:00.000Z";"2024-06-12T16:00:00.000Z";157.38393
"2024-06-12T15:15:00.000Z";"2024-06-12T16:15:00.000Z";157.38393
"2024-06-12T15:30:00.000Z";"2024-06-12T16:30:00.000Z";157.38393
"2024-06-12T15:45:00.000Z";"2024-06-12T16:45:00.000Z";157.38393
"2024-06-12T16:00:00.000Z";"2024-06-12T17:00:00.000Z";262.29047
"2024-06-12T16:15:00.000Z";"2024-06-12T17:15:00.000Z";262.29047
"2024-06-12T16:30:00.000Z";"2024-06-12T17:30:00.000Z";262.29047
"2024-06-12T16:45:00.000Z";"2024-06-12T17:45:00.000Z";262.29047
"2024-06-12T17:00:00.000Z";"2024-06-12T18:00:00.000Z";297.42777
"2024-06-12T17:15:00.000Z";"2024-06-12T18:15:00.000Z";297.42777
"2024-06-12T17:30:00.000Z";"2024-06-12T18:30:00.000Z";297.42777
"2024-06-12T17:45:00.000Z";"2024-06-12T18:45:00.000Z";297.42777
"2024-06-12T18:00:00.000Z";"2024-06-12T19:00:00.000Z";299.01057
"2024-06-12T18:15:00.000Z";"2024-06-12T19:15:00.000Z";299.01057
"2024-06-12T18:30:00.000Z";"2024-06-12T19:30:00.000Z";299.01057
"2024-06-12T18:45:00.000Z";"2024-06-12T19:45:00.000Z";299.01057
"2024-06-12T19:00:00.000Z";"2024-06-12T20:00:00.000Z";307.89675
"2024-06-12T19:15:00.000Z";"2024-06-12T20:15:00.000Z";307.89675
"2024-06-12T19:30:00.000Z";"2024-06-12T20:30:00.000Z";307.89675
"2024-06-12T19:45:00.000Z";"2024-06-12T20:45:00.000Z";307.89675
"2024-06-12T20:00:00.000Z";"2024-06-12T21:00:00.000Z";264.06893
"2024-06-12T20:15:00.000Z";"2024-06-12T21:15:00.000Z";264.06893
"2024-06-12T20:30:00.000Z";"2024-06-12T21:30:00.000Z";264.06893
"2024-06-12T20:45:00.000Z";"2024-06-12T21:45:00.000Z";264.06893
"2024-06-12T21:00:00.000Z";"2024-06-12T22:00:00.000Z";269.49912
"2024-06-12T21:15:00.000Z";"2024-06-12T22:15:00.000Z";269.49912
"2024-06-12T21:30:00.000Z";"2024-06-12T22:30:00.000Z";269.49912
"2024-06-12T21:45:00.000Z";"2024-06-12T22:45:00.000Z";269.49912
"2024-06-13T03:00:00.000Z";"2024-06-13T04:00:00.000Z";263.85341
"2024-06-13T03:15:00.000Z";"2024-06-13T04:15:00.000Z";263.85341
"2024-06-13T03:30:00.000Z";"2024-06-13T04:30:00.000Z";263.85341
"2024-06-13T03:45:00.000Z";"2024-06-13T04:45:00.000Z";263.85341
"2024-06-13T04:00:00.000Z";"2024-06-13T05:00:00.000Z";276.34082
"2024-06-13T04:15:00.000Z";"2024-06-13T05:15:00.000Z";245.95543
"2024-06-13T04:30:00.000Z";"2024-06-13T05:30:00.000Z";274.48089
"2024-06-13T04:45:00.000Z";"2024-06-13T05:45:00.000Z";284.82124
"2024-06-13T05:00:00.000Z";"2024-06-13T06:00:00.000Z";300.99999
"2024-06-13T05:15:00.000Z";"2024-06-13T06:15:00.000Z";300.99999
"2024-06-13T05:30:00.000Z";"2024-06-13T06:30:00.000Z";300.99999
"2024-06-13T05:45:00.000Z";"2024-06-13T06:45:00.000Z";300.99999
"2024-06-13T06:00:00.000Z";"2024-06-13T07:00:00.000Z";40
"2024-06-13T06:15:00.000Z";"2024-06-13T07:15:00.000Z";40
"2024-06-13T06:30:00.000Z";"2024-06-13T07:30:00.000Z";40
"2024-06-13T06:45:00.000Z";"2024-06-13T07:45:00.000Z";40
"2024-06-13T11:30:00.000Z";"2024-06-13T12:30:00.000Z";236.51622
"2024-06-13T11:45:00.000Z";"2024-06-13T12:45:00.000Z";277.72907
"2024-06-13T12:00:00.000Z";"2024-06-13T13:00:00.000Z";225
"2024-06-13T12:15:00.000Z";"2024-06-13T13:15:00.000Z";225
"2024-06-13T12:30:00.000Z";"2024-06-13T13:30:00.000Z";208.87525
"2024-06-13T14:00:00.000Z";"2024-06-13T15:00:00.000Z";135.05376
"2024-06-13T14:45:00.000Z";"2024-06-13T15:45:00.000Z";201.28761
"2024-06-13T15:00:00.000Z";"2024-06-13T16:00:00.000Z";241.55996
"2024-06-13T16:15:00.000Z";"2024-06-13T17:15:00.000Z";245.68492
"2024-06-13T16:30:00.000Z";"2024-06-13T17:30:00.000Z";277.94673
"2024-06-13T16:45:00.000Z";"2024-06-13T17:45:00.000Z";291.45131
"2024-06-13T17:00:00.000Z";"2024-06-13T18:00:00.000Z";335
"2024-06-13T17:15:00.000Z";"2024-06-13T18:15:00.000Z";335
"2024-06-13T17:30:00.000Z";"2024-06-13T18:30:00.000Z";335
"2024-06-13T17:45:00.000Z";"2024-06-13T18:45:00.000Z";335
"2024-06-13T18:00:00.000Z";"2024-06-13T19:00:00.000Z";281.23347
"2024-06-13T18:15:00.000Z";"2024-06-13T19:15:00.000Z";180.45817
"2024-06-13T18:30:00.000Z";"2024-06-13T19:30:00.000Z";181.76364
"2024-06-13T20:00:00.000Z";"2024-06-13T21:00:00.000Z";202.37841
"2024-06-13T20:15:00.000Z";"2024-06-13T21:15:00.000Z";205.50955
"2024-06-13T20:30:00.000Z";"2024-06-13T21:30:00.000Z";196.28792
"2024-06-13T21:00:00.000Z";"2024-06-13T22:00:00.000Z";198.13198
"2024-06-13T21:15:00.000Z";"2024-06-13T22:15:00.000Z";175.32644
"2024-06-13T22:15:00.000Z";"2024-06-13T23:15:00.000Z";142.41483
"2024-06-14T03:00:00.000Z";"2024-06-14T04:00:00.000Z";242.94743
"2024-06-14T03:15:00.000Z";"2024-06-14T04:15:00.000Z";326.57503
"2024-06-14T03:30:00.000Z";"2024-06-14T04:30:00.000Z";243.70241
"2024-06-14T03:45:00.000Z";"2024-06-14T04:45:00.000Z";167.82087
"2024-06-14T04:00:00.000Z";"2024-06-14T05:00:00.000Z";219.68376
